Hugo Symbol	Entrez Gene ID	# of occurrence within resources (Column D-J)	OncoKB Annotated	Is Oncogene (OncoKB)	Is Tumor Suppressor Gene (OncoKB)	MSK-IMPACT	MSK-HEME	FOUNDATION ONE	FOUNDATION ONE HEME	Vogelstein	SANGER CGC(05/30/2017)	OG score	TSG score	Is Oncogene (TCGA)	Is Tumor Suppressor Gene (TCGA)	Is Driver Gene (TCGA)	Is Oncogene (CGC)	Is Tumor Suppressor Gene (CGC)	Is Driver Gene (CGC)
LYN	4067.0	4.0	Yes	Yes	No	Yes	Yes	Yes	No	No	No								
SH2D1A	4068.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
EPCAM	4072.0	3.0	Yes	No	Yes	Yes	Yes	No	No	No	No								
EP300	2033.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	4.5	No	Yes	Yes	No	No	Yes
CRBN	51185.0	2.0	Yes	No	Yes	No	Yes	No	No	No	No								
HIST2H3C	126961.0	3.0	Yes	No	No	Yes	Yes	No	No	No	No								
EPAS1	2034.0	4.0	Yes	No	No	Yes	Yes	No	No	No	Yes	1.0	0.0	Yes	No	Yes	No	No	Yes
SMAD2	4087.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	0.0	1.5	No	Yes	Yes	No	No	Yes
SMAD3	4088.0	4.0	Yes	No	Yes	Yes	Yes	No	No	No	Yes						No	No	Yes
SMAD4	4089.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	1.0	4.0	No	Yes	Yes	No	No	Yes
EPHA3	2042.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	0.0	0.0	No	No	Yes	No	No	Yes
EPHA5	2044.0	4.0	Yes	No	No	Yes	Yes	No	Yes	No	No								
EPHA7	2045.0	4.0	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No						No	No	Yes
MAF	4094.0	4.0	Yes	No	No	No	No	Yes	Yes	No	Yes								
FBXW7	55294.0	7.0	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	2.0	6.5	No	Yes	Yes	No	No	Yes
EPHB1	2047.0	5.0	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No								
EPOR	2057.0	2.0	Yes	Yes	No	No	No	No	Yes	No	No								
NCOA3	8202.0	3.0	Yes	Yes	No	Yes	Yes	No	No	No	No								
ERBB2	2064.0	7.0	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	6.5	0.0	Yes	No	Yes	No	No	Yes
